dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,3.513262,1.730563,2.111802,2.657043,-1.228619,-1.733103,5.507867
0.020000,3.550728,1.693592,2.164438,2.631800,-1.262155,-1.676762,5.501088
0.020000,3.587588,1.656746,2.216556,2.605911,-1.294488,-1.616665,5.494994
0.020000,3.623863,1.620066,2.268144,2.579392,-1.325956,-1.573422,5.489553
0.020000,3.659570,1.583587,2.319189,2.552273,-1.355937,-1.499020,5.484735
0.020000,3.694725,1.547346,2.369681,2.524573,-1.384997,-1.452999,5.480512
0.020000,3.729346,1.511373,2.419607,2.496317,-1.412787,-1.389508,5.476855
0.020000,3.763447,1.475699,2.468957,2.467529,-1.439382,-1.329754,5.473738
0.020000,3.797043,1.440353,2.517722,2.438229,-1.465022,-1.282020,5.471136
0.020000,3.830145,1.405361,2.565891,2.408439,-1.489509,-1.224325,5.469024
0.020000,3.862767,1.370747,2.613454,2.378176,-1.513147,-1.181881,5.467378
0.020000,3.894918,1.336535,2.660404,2.347460,-1.535772,-1.131258,5.466175
0.020000,3.926610,1.302745,2.706730,2.316310,-1.557534,-1.088123,5.465394
0.020000,3.957850,1.269397,2.752425,2.284740,-1.578498,-1.048183,5.465015
0.020000,3.988647,1.236511,2.797480,2.252765,-1.598763,-1.013253,5.465015
0.020000,4.019007,1.204102,2.841888,2.220398,-1.618306,-0.977179,5.465377
0.020000,4.048937,1.172187,2.885641,2.187654,-1.637233,-0.946302,5.466082
0.020000,4.078441,1.140781,2.928732,2.154542,-1.655582,-0.917489,5.467110
0.020000,4.107523,1.109897,2.971153,2.121074,-1.673429,-0.892321,5.468444
0.020000,4.136186,1.079548,3.012898,2.087260,-1.690656,-0.861366,5.470066
0.020000,4.164433,1.049745,3.053961,2.053107,-1.707661,-0.850248,5.471961
0.020000,4.192265,1.020499,3.094333,2.018625,-1.724117,-0.822815,5.474110
0.020000,4.219682,0.991819,3.134009,1.983821,-1.740212,-0.804760,5.476499
0.020000,4.246684,0.963715,3.172983,1.948700,-1.756030,-0.790880,5.479112
