dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.073217,2.301922,2.732102,2.956904,-2.730136,1.717931,5.507867
0.020000,4.114543,2.261141,2.790161,2.902971,-2.696606,1.676483,5.501088
0.020000,4.154852,2.220849,2.847155,2.849691,-2.664038,1.628394,5.494994
0.020000,4.194187,2.181074,2.903096,2.797032,-2.632925,1.555651,5.489553
0.020000,4.232590,2.141841,2.957995,2.744979,-2.602644,1.514054,5.484735
0.020000,4.270098,2.103175,3.011866,2.693503,-2.573817,1.441353,5.480512
0.020000,4.306748,2.065094,3.064717,2.642582,-2.546030,1.389365,5.476855
0.020000,4.342572,2.027619,3.116561,2.592196,-2.519300,1.336486,5.473738
0.020000,4.377601,1.990764,3.167408,2.542320,-2.493793,1.275341,5.471136
0.020000,4.411865,1.954544,3.217266,2.492937,-2.469197,1.229835,5.469024
0.020000,4.445390,1.918972,3.266147,2.444022,-2.445715,1.174104,5.467378
0.020000,4.478201,1.884058,3.314058,2.395561,-2.423058,1.132831,5.466175
0.020000,4.510319,1.849812,3.361009,2.347536,-2.401261,1.089851,5.465394
0.020000,4.541767,1.816243,3.407007,2.299931,-2.380268,1.049673,5.465015
0.020000,4.572564,1.783357,3.452062,2.252729,-2.360059,1.010401,5.465015
0.020000,4.602726,1.751160,3.496180,2.205919,-2.340499,0.978033,5.465377
0.020000,4.632270,1.719656,3.539370,2.159488,-2.321580,0.945939,5.466082
0.020000,4.661211,1.688849,3.581638,2.113423,-2.303240,0.916997,5.467110
0.020000,4.689562,1.658742,3.622993,2.067714,-2.285453,0.889340,5.468444
0.020000,4.717334,1.629337,3.663440,2.022354,-2.268018,0.871785,5.470066
0.020000,4.744538,1.600634,3.702986,1.977329,-2.251236,0.839100,5.471961
0.020000,4.771184,1.572634,3.741639,1.932635,-2.234715,0.826048,5.474110
0.020000,4.797281,1.545335,3.779404,1.888263,-2.218569,0.807264,5.476499
0.020000,4.822835,1.518738,3.816288,1.844207,-2.202818,0.787560,5.479112
0.020000,4.847853,1.492839,3.852298,1.800459,-2.187372,0.772287,5.481932
0.020000,4.872341,1.467637,3.887438,1.757018,-2.172065,0.765379,5.484945
0.020000,4.896305,1.443127,3.921715,1.713873,-2.157228,0.741845,5.488136
0.020000,4.919747,1.419307,3.955136,1.671022,-2.142571,0.732840,5.491490
0.020000,4.942671,1.396173,3.987705,1.628459,-2.128131,0.722030,5.494992
0.020000,4.965081,1.373718,4.019429,1.586180,-2.113956,0.708714,5.498629
0.020000,4.986978,1.351939,4.050312,1.544186,-2.099727,0.711449,5.502387
0.020000,5.008364,1.330830,4.080362,1.502461,-2.086240,0.674349,5.506251
0.020000,5.029240,1.310385,4.109582,1.461010,-2.072557,0.684167,5.510209
0.020000,5.049607,1.290597,4.137978,1.419827,-2.059120,0.671846,5.514246
0.020000,5.069465,1.271461,4.165557,1.378908,-2.045993,0.656355,5.518350
0.020000,5.088814,1.252968,4.192321,1.338244,-2.033188,0.640256,5.522508
0.020000,5.107653,1.235112,4.218278,1.297839,-2.020252,0.646778,5.526706
0.020000,5.125983,1.217886,4.243432,1.257679,-2.007979,0.613674,5.530933
0.020000,5.143801,1.201282,4.267787,1.217767,-1.995584,0.619752,5.535176
0.020000,5.161107,1.185292,4.291349,1.178097,-1.983539,0.602247,5.539424
0.020000,5.177899,1.169909,4.314122,1.138660,-1.971856,0.584137,5.543663
0.020000,5.194175,1.155124,4.336111,1.099450,-1.960481,0.568771,5.547884
0.020000,5.209934,1.140929,4.357321,1.060471,-1.948944,0.576857,5.552075
0.020000,5.225174,1.127317,4.377755,1.021706,-1.938247,0.534823,5.556224
0.020000,5.239893,1.114279,4.397418,0.983154,-1.927584,0.533153,5.560321
0.020000,5.254089,1.101807,4.416314,0.944809,-1.917273,0.515567,5.564357
0.020000,5.267759,1.089893,4.434447,0.906666,-1.907148,0.506219,5.568320
0.020000,5.280902,1.078529,4.451822,0.868715,-1.897558,0.479511,5.572201
0.020000,5.293515,1.067708,4.468441,0.830952,-1.888134,0.471188,5.575991
0.020000,5.305596,1.057421,4.484308,0.793368,-1.879233,0.445046,5.579681
0.020000,5.317143,1.047661,4.499427,0.755956,-1.870561,0.433622,5.583261
0.020000,5.328153,1.038421,4.513801,0.718709,-1.862349,0.410582,5.586725
0.020000,5.338626,1.029693,4.527434,0.681626,-1.854174,0.408772,5.590064
0.020000,5.348557,1.021470,4.540328,0.644686,-1.846987,0.359350,5.593270
0.020000,5.357947,1.013746,4.552485,0.607893,-1.839671,0.365773,5.596337
0.020000,5.366791,1.006515,4.563910,0.571236,-1.832844,0.341356,5.599256
0.020000,5.375090,0.999769,4.574604,0.534706,-1.826500,0.317196,5.602024
0.020000,5.382840,0.993504,4.584570,0.498293,-1.820633,0.293369,5.604632
0.020000,5.390040,0.987713,4.593810,0.461994,-1.814978,0.282748,5.607076
0.020000,5.396688,0.982392,4.602326,0.425797,-1.809853,0.256261,5.609350
0.020000,5.402784,0.977535,4.610120,0.389697,-1.804976,0.243847,5.611450
0.020000,5.408325,0.973138,4.617194,0.353685,-1.800586,0.219483,5.613371
0.020000,5.413310,0.969197,4.623549,0.317752,-1.796676,0.195486,5.615109
0.020000,5.417739,0.965708,4.629186,0.281889,-1.793149,0.176396,5.616661
0.020000,5.421609,0.962667,4.634108,0.246092,-1.789845,0.165192,5.618024
0.020000,5.424921,0.960073,4.638315,0.210350,-1.787120,0.136227,5.619194
0.020000,5.427673,0.957921,4.641808,0.174654,-1.784800,0.116008,5.620169
0.020000,5.429865,0.956211,4.644588,0.138998,-1.782790,0.100511,5.620948
0.020000,5.431495,0.954940,4.646656,0.103375,-1.781161,0.081449,5.621529
0.020000,5.432565,0.954108,4.648011,0.067772,-1.780141,0.050995,5.621911
0.020000,5.433086,0.953702,4.648672,0.033033,-1.736911,2.161502,5.622097
0.020000,5.433213,0.953603,4.648833,0.008046,-1.249377,24.376683,5.622142
0.020000,5.433213,0.953603,4.648833,0.000000,-0.402296,42.354047,5.622142
